Ref_ID,Cell_area,Layer_1,Layer_1_material,Substrate_thickness,Layer_2,Layer_2_material,ETL_thickness,Layer_3,Layer_3_material,Perovskite_thickness,Layer_4,Layer_4_material,HTL_thickness,Layer_5,Layer_5_material,Backcontact_thickness,Perovskite_band_gap
2756,0.096,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,300.0,HTL,Spiro-MeOTAD,100.0,Backcontact,Au,70.0,1.5
2757,0.096,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,300.0,HTL,Spiro-MeOTAD,100.0,Backcontact,Au,70.0,1.5
2837,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,80.0,Backcontact,Au,80.0,1.5
2844,0.1,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,440.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
2873,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.5
2874,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.5
2875,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.5
2876,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.5
2877,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
2878,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
2900,0.04,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
2901,0.04,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
2928,0.1,Substrate,FTO,50.0,ETL,TiO2-c,20.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0,1.6
3019,0.09,Substrate,FTO,50.0,ETL,TiO2-c,40.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3218,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3384,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3385,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3386,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3415,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3499,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3503,0.09,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,147.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3504,0.09,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,188.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3505,0.09,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,209.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3506,0.09,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,247.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3551,0.16,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0,1.6
3552,0.16,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0,1.6
3553,0.16,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0,1.6
3554,0.16,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0,1.6
3568,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3655,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
3696,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3697,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3698,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3699,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3700,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3701,0.1,Substrate,FTO,50.0,ETL,TiO2-c,100.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0,1.6
3709,0.1,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0,1.6
